ticker,date,qtr,current_assets,noncurrent_assets,current_liabilities,noncurrent_liabilities,lt_dbt,equity,goodwill,inventory,ev,total_debt
hexo,2015-09-30,Q4 2015,nan,nan,nan,0,0,0.878274,0,nan,nan,nan
hexo,2015-12-31,Q1 2016,nan,nan,nan,nan,0,0.868368,0,nan,nan,nan
hexo,2016-03-31,Q2 2016,nan,0.004643,nan,nan,0,0.826693,0,nan,nan,nan
hexo,2016-06-30,Q3 2016,nan,0.00408,nan,nan,0,0.814056,0,nan,0.115383,0
hexo,2016-09-30,Q4 2016,nan,0.002704,nan,nan,0,0.800217,0,nan,0.390928,0
hexo,2016-10-31,Q1 2017,19.770589,7.411808,5.830402,0,0,21.351995,nan,1.249901,nan,3.004524
hexo,2017-01-31,Q2 2017,19.770589,7.411808,5.830402,0,0,21.351995,nan,1.249901,nan,3.004524
hexo,2017-04-30,Q3 2017,23.457801,7.940205,4.104183,0,0,27.293823,nan,1.252289,77.787751,0
hexo,2017-07-31,Q4 2017,47.565465,8.613459,3.027993,20.711441,20.711441,32.43949,0,3.689239,95.962343,20.711441
hexo,2017-10-31,Q1 2018,43.958988,13.806419,5.204475,21.132911,21.132911,31.428021,nan,5.907446,159.929983,21.132911
hexo,2018-01-31,Q2 2018,277.361952,22.228318,11.127544,0,nan,288.462726,nan,7.580902,nan,nan
hexo,2018-04-30,Q3 2018,265.241276,36.407271,9.834149,0,0,291.814398,nan,9.242802,526.37281,0
hexo,2018-07-31,Q4 2018,276.619855,58.377578,12.124558,0,0,322.872875,0,10.414624,580.071516,0
hexo,2018-10-31,Q1 2019,244.351085,138.954698,17.437865,0,0,365.867918,nan,16.240283,992.705947,0
hexo,2019-01-31,Q2 2019,247.69,198.863,23.358,0,0,423.195,nan,21.112,1381.448394,0
hexo,2019-04-30,Q3 2019,266.514,243.939,47.394,30.371,30.371,432.688,nan,36.776,2067.277841,33.746
cron,2015-09-30,Q3 2015,0.965411,8.554118,1.768639,0.5,0.5,7.25089,nan,0,nan,nan
cron,2015-12-31,Q4 2015,1.225085,13.498761,2.326991,0.695,0.5,11.701855,0.392,0,nan,nan
cron,2016-03-31,Q1 2016,0.393098,13.480314,2.008687,0.653,0.5,11.211725,0.392,0,nan,nan
cron,2016-06-30,Q2 2016,3.5905,12.110141,0.315316,0.097,0,15.288325,0.392,0,11.650748,0.115
cron,2016-09-30,Q3 2016,9.160417,30.449854,7.607293,1.434,0,30.568978,1.792,1.272331,104.650687,4
cron,2016-12-31,Q4 2016,8.086588,34.814008,7.765967,1.457,0,33.677629,1.792,1.908486,180.689899,4
cron,2017-03-31,Q1 2017,21.333489,37.272123,6.540055,1.458,0,50.607557,1.792,2.259546,352.994289,4
cron,2017-06-30,Q2 2017,13.171856,41.926667,2.675588,1.435,0,50.987935,1.792,2.713241,223.267108,0
cron,2017-09-30,Q3 2017,27.061776,52.35344,5.513771,6.381077,0,67.520368,1.792,4.798513,358.642186,0
